Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
CATANIA FONTANAROSSA,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16460|primary,Europe,,Italy,37.4666666667,15.0638888889,12,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;C;METAR;OZONE;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Ozone observations.,,,,,,GOS General:Operational,	2024-02-06,Piero Serra
CATANIA SIGONELLA,,	1960-01-15,,Operational,Operational,Land (fixed),0-20000-0-16459|primary,Europe,,Italy,37.4055555556,14.9186111111,24,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;PH;RBCN;RBSN(S);SPECI;VOLCANO (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Volcanic eruption observations.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
CATANZARO,,	2005-03-08,,Operational,Silent,Land (fixed),0-20000-0-16365|primary,Europe,,Italy,38.9052777778,16.5952777778,332,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
CERVIA,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-16148|primary,Europe,,Italy,44.2288888889,12.2919444444,6,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;PH;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
CHIAVARI,,,,Operational,Silent,Land (fixed),0-20000-0-16123|primary,Europe,,Italy,44.3261111111,9.3472222222,29,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
CIVITAVECCHIA,,	1961-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16214|primary,Europe,,Italy,42.0327777778,11.8330555556,3.48,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;METAR;PH;SEA/SWELL;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Sea and swell observations.,,,,,,GOS General:Operational,	2023-12-03,Piero Serra
CONCORDIA SAGITTARIA,,,,Operational,Partly operational,Land (fixed),0-20000-0-16107|primary,Europe,,Italy,45.7611111111,12.8569444444,1,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
COZZO SPADARO,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16480|primary,Europe,,Italy,36.6861111111,15.1313888889,46,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);GAW;METAR;RBCN;RBSN(S);SEA/SWELL;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-12-19,Piero Serra
CROTONE,,	1951-01-01,,Operational,Unknown,Land (fixed),0-20000-0-16350|primary,Europe,,Italy,38.9966666667,17.0791666667,159,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
CUNEO LEVALDIGI,,	2001-01-01,,Operational,Unknown,Land (fixed),0-20000-0-16117|primary,Europe,,Italy,44.5530555556,7.625,385,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
CUNEO-LEVALDIGI RDS,,,,Operational,Partly operational,Land (fixed),0-20000-0-16113|primary,Europe,,Italy,44.5391666667,7.6125,385,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RAD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radiation measurements.,,,,,,"GBON:Operational, GOS General:Operational",	2016-04-28,
Col Margherita,,	2012-10-20,,Unknown,Unknown,Land (fixed),0-380-0-MRG|primary,Europe,,Italy,46.36683,11.79192,2543,GPS,UTC+1,Consiglio Nazionale delle Ricerche - Institute of Biometeorology,http://colmargherita.dsa.unive.it/,http://www.isp.cnr.it,,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,A hilltop at highest relative elevation within mountains of high altitude,22|707,GAW Regional,	2020-02-25,Federico Dallo
DECIMOMANNU,,	1961-11-20,,Operational,Operational,Land (fixed),0-20000-0-16546|primary,Europe,,Italy,39.3461111111,8.9675,29,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2023-04-28,Piero Serra
DESENZANO,,	1983-01-01,,Operational,Silent,Land (fixed),0-20000-0-16089|primary,Europe,,Italy,45.4644444444,10.5552777778,64,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2019-08-22,Piero Serra
DOBBIACO,,	1946-12-12,,Operational,Operational,Land (fixed),0-20000-0-16033|primary,Europe,,Italy,46.73,12.22,1222,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;METAR;RBCN;RBSN(S);SOLRA;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
Domodossola Collegio Rosmini,,	1876-07-01,,Operational,Silent,Land (fixed),0-380-7-2|primary,Europe,,Italy,46.1136,8.2889,280,GPS,UTC+1,SOCIETA' METEOROLOGICA ITALIANA,www.nimbus.it,info@nimbus.it,,Warm Temperate - Fully humid - Hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),Chaotic (City centre with high and low-rise buildings),A valley bottom at lowest relative elevation within valleys of low altitude,,Non-affiliated:Operational,	2018-12-20,Piero Serra
ENNA,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16450|primary,Europe,,Italy,37.5680555556,14.2797222222,1000,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;METAR;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2019-08-22,Piero Serra
FALCONARA,,	1958-12-18,,Operational,Operational,Land (fixed),0-20000-0-16191|primary,Europe,,Italy,43.6166666667,13.3602777778,15,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
FERRARA (16133-0),,	2005-07-01,,Operational,Partly operational,Land (fixed),0-20000-0-16133|primary,Europe,,Italy,44.8152777778,11.6125,9,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-26,Piero Serra
FERRARA (16138-0),,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16138|primary,Europe,,Italy,44.8155555556,11.6125,8,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: METAR;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
FIRENZE,,	2002-02-27,,Silent,Unknown,Land (fixed),0-20000-0-16171|primary,Europe,,Italy,43.7855555556,11.2158333333,17,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Stand-by,	2023-12-19,Piero Serra
FIRENZE PERETOLA,,	1989-10-10,,Operational,Operational,Land (fixed),0-20000-0-16170|primary,Europe,,Italy,43.8086111111,11.2027777778,43,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
FORLI,,	1988-01-01,,Operational,Silent,Land (fixed),0-20000-0-16147|primary,Europe,,Italy,44.1955555556,12.0697222222,30,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
FRONTONE,,	1954-01-01,,Operational,Operational,Land (fixed),0-20000-0-16179|primary,Europe,,Italy,43.5169444444,12.7277777778,570,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);M;METAR;MONT;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
FROSINONE,,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16244|primary,Europe,,Italy,41.645,13.2994444444,192.5,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
FUCINO,,	1988-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16227|primary,Europe,,Italy,41.9783333333,13.6052777778,649,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2019-08-22,Piero Serra
FURBARA,,,,Operational,Unknown,Land (fixed),0-20000-0-16210|primary,Europe,,Italy,41.9969444444,12.0163888889,11,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
GALLARATE,,,,Operational,Unknown,Land (fixed),0-20000-0-16067|primary,Europe,,Italy,45.6477777778,8.8136111111,237,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
GELA,,	1965-08-01,,Operational,Operational,Land (fixed),0-20000-0-16453|primary,Europe,,Italy,37.0763888889,14.225,58,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;METAR;SEA/SWELL;SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Sea and swell observations; Solar radiation measurements.,,,,,,GOS General:Operational,	2024-01-04,Piero Serra
GENOVA,,	1962-01-01,,Operational,Silent,Land (fixed),0-20000-0-16121|primary,Europe,,Italy,44.4194444444,8.9211111111,44,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
GENOVA/SESTRI,,	1962-01-01,,Operational,Operational,Land (fixed),0-20000-0-16120|primary,Europe,,Italy,44.4133333333,8.8375,4,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"RBON:Operational, RBSN(S) - deprecated:Closed",	2024-01-31,Piero Serra
GIBILMANNA,,,,Operational,Silent,Land (fixed),0-20000-0-16442|primary,Europe,,Italy,37.9908333333,14.0269444444,997,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
GIOIA DEL COLLE,,	1959-01-01,,Operational,Operational,Land (fixed),0-20000-0-16312|primary,Europe,,Italy,40.7661111111,16.9352777778,345,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
GRAZZANISE,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-16253|primary,Europe,,Italy,41.0605555556,14.0788888889,9.19,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;PH;RBCN;RBSN(S);SOLRA;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations; Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed, WRO:Operational",	2023-04-28,Piero Serra
GROSSETO,,	1951-02-03,,Operational,Operational,Land (fixed),0-20000-0-16206|primary,Europe,,Italy,42.7480555556,11.0588888889,5.4,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;PH;RBCN;RBSN(S);SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed",	2023-04-28,Piero Serra
GROTTAGLIE,,	1962-01-01,,Operational,Unknown,Land (fixed),0-20000-0-16324|primary,Europe,,Italy,40.5172222222,17.3997222222,66,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
GUIDONIA (16233-0),,,,Operational,Unknown,Land (fixed),0-20000-0-16233|primary,Europe,,Italy,41.9886111111,12.7375,89,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
GUIDONIA (16234-0),,	1951-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16234|primary,Europe,,Italy,41.9966666667,12.7344444444,88.1,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2023-04-21,Piero Serra
IMPERIA,,	1928-01-01,,Operational,Unknown,Land (fixed),0-20000-0-16150|primary,Europe,,Italy,43.8666666667,8.0333333333,58,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2016-04-28,
ISOLA CAPRAIA,,,,Operational,Unknown,Land (fixed),0-20000-0-16155|primary,Europe,,Italy,43.0513888889,9.8441666667,25,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
ISOLA D'ELBA,,,,Operational,Unknown,Land (fixed),0-20000-0-16198|primary,Europe,,Italy,42.7311111111,10.3955555556,396,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
ISOLA GORGONA,,	1951-01-01,,Silent,Unknown,Land (fixed),0-20000-0-16154|primary,Europe,,Italy,43.4280555556,9.8941666667,254,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Stand-by,	2023-12-22,Piero Serra
ISOLA SALINA,,	1953-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-16415|primary,Europe,,Italy,38.58,14.8716666667,45,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
ISOLA STROMBOLI,,,,Operational,Partly operational,Land (fixed),0-20000-0-16416|primary,Europe,,Italy,38.8025,15.2341666667,75,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
L'AQUILA,,,,Operational,Unknown,Land (fixed),0-20000-0-16226|primary,Europe,,Italy,42.3755555556,13.3272222222,668,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
LA SPEZIA-LA CASTELLANA,,,,Operational,Silent,Land (fixed),0-20000-0-16129|primary,Europe,,Italy,44.0669444444,9.8163888889,520,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
LAMEZIA TERME,,	1976-06-11,,Operational,Operational,Land (fixed),0-20000-0-16362|primary,Europe,,Italy,38.9083333333,16.2416666667,12,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-06,Piero Serra
LAMPEDUSA,,	1958-10-10,,Operational,Operational,Land (fixed),0-20000-0-16490|primary,Europe,,Italy,35.4980555556,12.6183333333,21,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,	2024-02-08,Piero Serra
LATINA (16243-0),,	1953-04-30,,Operational,Partly operational,Land (fixed),0-20000-0-16243|primary,Europe,,Italy,41.5458333333,12.9097222222,25,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;PH;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Operational,	2023-04-28,Piero Serra
LATINA (16247-0),,	2003-03-05,,Silent,Unknown,Land (fixed),0-20000-0-16247|primary,Europe,,Italy,41.5447222222,12.9105555556,25,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Stand-by,	2023-12-27,Piero Serra
LATRONICO (16316-0),,	2016-04-29,,Operational,Silent,Land (fixed),0-20000-0-16316|primary,Europe,,Italy,40.0875,16.0136111111,888,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: M;METAR;MONT;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Observations of cloud below the level of the station.,,,,,,GOS General:Operational,	2023-12-19,Piero Serra
LATRONICO (16317-0),,,,Operational,Unknown,Land (fixed),0-20000-0-16317|primary,Europe,,Italy,40.0875,16.0136111111,895,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
LECCE (16332-0),,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-16332|primary,Europe,,Italy,40.2383333333,18.1388888889,48.96,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;METAR;PH;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Phenological observations.,,,,,,GOS General:Operational,	2023-12-27,Piero Serra
LECCE (16333-0),,	2003-01-08,,Silent,Unknown,Land (fixed),0-20000-0-16333|primary,Europe,,Italy,40.2383333333,18.1386111111,47,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Stand-by,	2023-12-22,Piero Serra
LIMONE COLLE DI TENDA,,	2004-10-14,	2016-06-01,Closed,Unknown,Land (fixed),0-20000-0-16115|primary,Europe,,Italy,44.1788888889,7.5683333333,1232,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Closed,	2022-03-31,Piero Serra
LORETO,,,,Operational,Silent,Land (fixed),0-20000-0-16192|primary,Europe,,Italy,43.43,13.6036111111,196,,,Servizio Meteorologico (Meteorological Service of the Italian Air Force),,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,GOS General:Operational,	2016-04-28,
Lamezia Terme,,	2014-01-12,,Operational,Unknown,Land (fixed),0-20008-0-LMT|primary,Europe,,Italy,38.8763,16.2322,6,,UTC+1,,http://www.i-amica.it/i-amica/?page_id=671&lang=en,,"Lamezia Terme CNR-ISAC station is located in a strategic and isolated position, 600 m from the coastline of the Lamezia Terme plane, outside the only valley in Calabria which allows the Tyrrhenian Sea to connect with the Ionio Sea. Its complex orography and its long and narrow shape create a complex interaction of breezes which develop perpendicularly the two coasts with the synoptic circulation, that mainly goes west. In detail, breezes from the sea go mainly W-WSW, while breezes from the earth go mainly E-ENE. Breezes are characterized by seasonal cycles modulated by the temperature gradient between sea and land in addition to the synoptic circulation (more prevalent in determining local circulation in late fall and winter). In particular, while during the summer, there are strong breezes from the sea during the day, in winter there are, at night, intense breezes coming from the land. It was also demonstrated how the breeze system dominated atmospheric circulation in Lamezia Terme and it has an important role in defining local climates. The area presents polluting emissions coming from transportation, (airport, cruises from/to Gioia Tauro, local and highway traffic), houses and agriculture in addition to the deposits of a natural particulate like Saharan sand, and volcanic particulate coming from the two active volcanoes in the Mediterranean (Stromboli and Etna situated 80 km west and around 200 km south-east of the measurement site respectively). Studying atmospheric circulation becomes particularly relevant in order to characterize variability of atmospheric composition, for researches regarding renewable (solar and wind) energy and for the coast characterization to prevent fires and erosion.",Warm Temperate - Fully humid - Hot summer,,,,,GAW Regional:Operational,	2018-03-23,Claudia Roberta Calidonna
